"","EngDispl","NumCyl","Transmission","FE","AirAspirationMethod","NumGears","TransLockup","TransCreeperGear","DriveDesc","IntakeValvePerCyl","ExhaustValvesPerCyl","CarlineClassDesc","VarValveTiming","VarValveLift"
"967",5,8,"S6",24.7928,"NaturallyAspirated",6,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,1
"968",5,8,"S6",23.6028,"Supercharged",6,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"982",3,6,"A7",31.5,"Turbocharged",7,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"986",3,6,"A7",34.4,"Turbocharged",7,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"991",3,6,"A7",33.3,"Turbocharged",7,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"997",2,4,"AVS6",41.2,"NaturallyAspirated",1,0,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"1010",3,6,"Other",33.1281,"Supercharged",8,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,1
"1012",2.5,4,"S4",32.8,"Turbocharged",4,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"1013",2.5,4,"M5",37.6,"NaturallyAspirated",5,0,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"1014",2.5,4,"S4",37.0378,"NaturallyAspirated",4,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"1015",2.5,4,"AV",40.1077,"NaturallyAspirated",1,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",0,1
"1016",2.5,4,"M6",37.137,"NaturallyAspirated",6,0,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",0,1
"1017",3.6,6,"S5",34.2596,"NaturallyAspirated",5,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"1018",3.6,6,"S5",29.5,"NaturallyAspirated",5,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"1037",3,6,"S8",33.2,"Supercharged",8,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"1050",1.8,4,"A6",49.1,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"1051",1.8,4,"M6",50.8,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"1056",4.6,8,"A4",21.9,"NaturallyAspirated",4,1,0,"TwoWheelDriveRear",1,1,"Other",0,0
"1057",4.6,8,"A4",24.3,"NaturallyAspirated",4,1,0,"TwoWheelDriveRear",1,1,"Other",0,0
"1062",2,4,"A6",48.7,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0
"1063",2,4,"M6",46.2,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0
"1064",2.4,4,"A6",43.4319,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0
"1065",2.4,4,"M6",44.8,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0
"1066",2.4,4,"A6",59.9,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"1071",2,4,"A6",51.7876,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"1075",3.5,6,"AV",34.0288,"NaturallyAspirated",1,0,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleminivan2WD",1,0
"1078",2,4,"S6",39.4447,"Turbocharged",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"1079",2,4,"M6",46.9,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"1084",2.8,6,"S6",30.3,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"1085",3,6,"S6",31.3025,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"1086",3,6,"S6",34.4,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"1087",2.4,4,"A6",56.3,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
